gene_name	SPOT	Profile	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
FARSA	ID_606	26	0.00	0.10	0.05	0.36	0.51	-0.59	-0.42
GCDH	ID_607	23	0.00	-0.14	-0.69	-0.04	-0.07	0.24	0.36
MAST2	ID_608	49	0.00	0.91	1.89	1.67	0.99	0.23	1.44
DNASE2A	ID_609	13	0.00	-0.72	-1.44	-0.92	-0.36	-0.53	-0.51
RAD23A	ID_610	39	0.00	0.22	0.50	0.33	0.48	1.17	1.23
CALR	ID_611	12	0.00	-0.20	-0.17	-0.27	-0.58	-0.60	-0.13
SYCE2	ID_612	10	0.00	-0.23	-1.70	-1.45	-0.67	-3.94	-2.65
NFAT5	ID_613	30	0.00	-0.11	0.52	-0.11	-0.93	-0.72	0.87
NOB1	ID_614	10	0.00	-0.35	-0.83	-0.67	-0.73	-1.17	-1.40
NQO1	ID_615	41	0.00	0.08	1.03	0.94	1.18	-0.46	-0.17
PPFIA3	ID_616	39	0.00	1.54	3.00	3.07	3.01	3.85	4.05
GYS1	ID_617	17	0.00	-0.07	0.15	-0.16	-0.39	-1.46	-0.03
RUVBL2	ID_618	10	0.00	-0.11	-0.49	-0.46	-0.56	-1.76	-1.74
BAX	ID_620	16	0.00	-0.01	0.26	0.23	0.75	-0.21	-0.59
TFAM	ID_621	10	0.00	-0.49	-1.39	-1.15	-1.37	-1.07	-1.68
ZFP81	ID_622	44	0.00	1.13	-0.07	-0.18	-0.53	-3.76	-2.20
EFNB3	ID_623	41	0.00	0.96	1.86	1.66	2.03	0.73	0.66
MMD	ID_624	39	0.00	0.81	1.64	1.73	1.50	1.89	2.59
HLF	ID_625	39	0.00	1.93	2.40	2.93	1.80	5.63	6.78
FAM162A	ID_626	20	0.00	-0.28	-1.38	-1.04	-1.23	-0.85	-1.22
RPL8	ID_627	10	0.00	-0.36	-0.70	-0.61	-0.68	-1.69	-1.83
GRM3	ID_628	39	0.00	2.16	3.65	4.05	4.52	4.75	5.21
SSBP2	ID_629	41	0.00	0.65	0.68	1.08	0.74	-0.07	-0.23
FANCL	ID_630	10	0.00	-0.60	-1.58	-1.94	-1.46	-2.71	-2.97
BRINP2	ID_631	49	0.00	4.05	5.53	5.81	5.95	6.69	6.67
GSTM5	ID_632	22	0.00	0.11	-0.53	-0.38	0.11	1.07	0.65
GSTM7	ID_633	44	0.00	1.82	1.97	1.35	1.23	0.27	1.25
STAT3	ID_635	49	0.00	0.77	1.59	1.08	0.89	0.83	1.47
STAT5A	ID_636	17	0.00	-0.42	0.62	0.40	0.70	-2.17	-0.62
CAVIN1	ID_637	41	0.00	0.59	1.24	1.61	0.18	-0.95	-0.11
MAP3K11	ID_638	21	0.00	-0.35	-0.82	-0.92	-0.92	-1.40	-0.36
AKT2	ID_639	25	0.00	0.27	0.03	0.39	-0.32	0.33	0.69
DNAJA3	ID_640	39	0.00	0.39	0.19	0.77	0.57	1.33	1.40
HMOX2	ID_641	39	0.00	-0.26	0.01	-0.08	0.29	0.48	0.31
CDIP1	ID_642	39	0.00	0.24	0.48	0.55	0.56	1.35	1.36
MAP3K20	ID_643	10	0.00	-0.28	-0.29	-0.28	-1.93	-1.63	-1.44
CWC15	ID_644	10	0.00	0.13	-0.43	-0.55	-0.60	-0.61	-0.69
COL5A3	ID_645	28	0.00	-0.75	-1.19	1.82	-0.11		0.38
DNMT1	ID_646	10	0.00	-0.05	-0.06	-0.22	-1.08	-2.34	-1.62
PPAN	ID_647	10	0.00	-0.61	-0.65	-0.46	-0.36	-1.58	-1.45
ANGPTL2	ID_648	10	0.00	-0.14	-1.10	-0.27	-0.84	-2.96	-2.67
CACNA1B	ID_649	49	0.00	2.34	4.27	3.99	3.56	3.22	3.74
TRMT10A	ID_650	10	0.00	-0.95	-1.20	-1.39	-1.80	-2.02	-2.31
ETV1	ID_651	39	0.00	1.40	1.78	1.70	1.54	3.30	3.90
KIFC2	ID_652	39	0.00	2.23	4.67	4.93	5.79	7.68	7.78
PSAP	ID_653	39	0.00	0.65	1.60	1.74	2.47	3.12	3.58
IKBKG	ID_654	45	0.00	1.12	0.48	1.09	0.18	0.54	1.05
WARS2	ID_656	10	0.00	0.35	-0.32	0.12	-0.53	-1.07	-1.26
ATN1	ID_657	49	0.00	0.86	1.85	1.23	0.74	0.12	1.45
PHB2	ID_658	16	0.00	-0.22	-0.39	-0.32	0.09	-0.74	-1.55
PTPN6	ID_659	19	0.00	-0.75	-0.19	0.08	0.37	-0.17	0.64
ENO2	ID_660	39	0.00	2.70	5.03	5.10	6.15	8.19	8.20
EMG1	ID_661	10	0.00	-0.60	-1.29	-1.30	-1.69	-2.35	-2.09
LPCAT3	ID_662	16	0.00	0.03	0.40	0.50	0.94	0.31	-0.31
ATP6V1F	ID_663	39	0.00	0.47	0.47	0.69	0.96	1.60	0.94
CLCN5	ID_665	10	0.00	-0.72	-0.60	-0.71	-1.21	-2.51	-2.06
CLCN3	ID_666	49	0.00	0.72	1.27	1.24	1.05	0.84	2.16
HIF3A	ID_667	17	0.00	0.60	1.54	1.47	0.32	-1.91	0.45
PDE1C	ID_669	26	0.00	-0.84	0.21	0.40	0.93	-1.00	0.29
UTP20	ID_670	10	0.00	-1.05	-0.85	-1.41	-2.39	-2.26	-2.01
SPIC	ID_671	28	0.00	-0.16	0.40		0.47	1.41	0.97
CUL3	ID_673	44	0.00	0.25	0.43	0.36	-0.16	-0.61	-0.02
SST	ID_674	39	0.00	3.34	4.66	4.46	4.71	5.88	5.80
LARGE1	ID_676	39	0.00	0.84	2.00	2.09	1.65	2.28	2.93
TMED4	ID_678	22	0.00	0.20	-0.06	0.07	-0.02	0.45	0.24
COL26A1	ID_679	16	0.00	-0.95	-0.43	-0.53	-0.15	-3.08	-3.89
BID	ID_680	41	0.00	-0.23	1.30	1.59	1.70	0.51	0.51
RALB	ID_681	10	0.00	-0.26	-0.39	-0.11	-0.21	-1.36	-1.20
PPP1CC	ID_682	20	0.00	-0.06	-0.82	-0.38	-0.41	-0.64	-0.98
TBCCD1	ID_684	5	0.00	-0.75	-0.06	-0.64	-1.18	-1.05	-0.38
CLEC11A	ID_685	35	0.00	0.95	0.14	2.14	1.98	2.41	1.84
ZFP324	ID_686	41	0.00	0.76	1.20	1.24	1.31	0.16	-0.11
GAB2	ID_687	41	0.00	0.96	2.38	2.04	1.60	0.13	0.05
CORO1C	ID_688	44	0.00	0.62	0.63	0.63	0.23	-1.53	-1.05
TAX1BP1	ID_689	27	0.00	0.14	0.01	0.01	-0.44	-0.25	0.13
CTSE	ID_691	5	0.00	-2.75	1.40	-1.18	-3.11	-3.17	-¡Þ
NDRG2	ID_692	39	0.00	2.08	4.05	4.32	5.11	6.18	6.44
METTL17	ID_693	44	0.00	0.20	0.38	0.35	0.49	-0.70	-0.44
ARHGEF40	ID_694	10	0.00	-0.06	0.25	-0.15	-0.29	-2.11	-2.10
PNPLA6	ID_695	49	0.00	0.70	1.64	1.25	1.55	0.98	1.61
MCOLN1	ID_696	39	0.00	0.36	1.19	1.16	1.01	1.38	1.78
ARHGEF18	ID_697	49	0.00	0.57	1.13	1.15	0.79	0.51	1.54
PKN2	ID_698	10	0.00	-0.55	-0.85	-1.11	-1.78	-2.46	-1.90
CD33	ID_699	18	0.00	-0.16	1.98	0.40	2.47	2.73	0.97
ETFB	ID_700	10	0.00	-0.54	-0.94	-0.90	-1.00	-0.98	-1.32
STXBP2	ID_702	12	0.00	-0.63	-1.19	-0.68	-1.11	-1.24	-0.56
SGCE	ID_704	31	0.00	0.17	0.07	0.07	-0.55	-0.18	-0.54
CHN2	ID_705	49	0.00	2.14	2.72	2.40	2.82	3.20	3.16
WWOX	ID_706	7	0.00	-0.86	-0.13	-0.13	-0.90	-0.97	-1.15
SLBP	ID_707	10	0.00	-0.86	-1.51	-1.64	-2.12	-2.42	-2.46
AQP1	ID_709	41	0.00	1.01	3.15	3.38	2.90	1.66	-0.03
ARID3B	ID_710	10	0.00	-1.08	-1.21	-1.92	-3.31	-2.91	-2.12
CNN2	ID_711	10	0.00	-2.13	-2.95	-2.90	-3.75	-4.36	-6.49
POLR2E	ID_712	2	0.00	-0.64	-0.78	-0.70	-0.38	-0.48	-0.54
MYO9B	ID_714	17	0.00	0.03	0.65	0.56	-0.37	-2.09	0.31
HDAC9	ID_715	39	0.00	0.20	0.40	0.57	0.69	1.81	2.23
ADGRE1	ID_717	49	0.00	2.09	2.10	2.10	2.06	2.11	1.77
MTFP1	ID_718	39	0.00	0.16	1.06	1.34	1.93	5.39	4.78
RAB23	ID_719	41	0.00	0.02	0.36	0.54	0.30	-0.31	-0.39
RAB11A	ID_720	41	0.00	0.45	0.61	0.77	0.83	0.30	0.12
PGF	ID_723	41	0.00	0.92	0.93	1.69	1.47	0.94	0.38
ULK2	ID_724	49	0.00	0.81	1.92	1.97	1.79	0.98	1.33
CCL24	ID_725	44	0.00	1.06	0.81	0.82		0.41	0.38
DGKQ	ID_726	49	0.00	0.84	1.79	1.70	1.33	1.26	1.69
GRAP	ID_727	16	0.00	-0.26	0.95	0.58	0.74	0.50	-0.62
CHMP2B	ID_728	18	0.00	-0.08	1.30	1.22	1.60	1.16	0.65
PLOD3	ID_729	16	0.00	-0.22	0.24	0.29	0.40	-0.63	-0.59
AP1S1	ID_730	39	0.00	0.26	0.37	0.47	1.11	1.52	1.21
MAPK13	ID_731	13	0.00	-1.97	-2.41	-2.40	-1.33	-1.40	-0.84
SRPK1	ID_732	27	0.00	0.02	0.14	-0.09	-0.64	-1.29	0.01
LBR	ID_734	10	0.00	-0.82	-2.36	-2.01	-3.54	-3.70	-3.25
CRABP2	ID_735	10	0.00	-1.95	-3.71	-4.47	-4.50	-6.54	-7.68
NES	ID_736	10	0.00	-0.10	-1.33	-2.07	-3.69	-6.98	-6.43
BCAN	ID_737	39	0.00	3.16	7.26	7.75	8.84	8.90	9.46
PRCC	ID_739	44	0.00	0.33	0.43	0.30	0.42	-0.44	-0.14
METTL25B	ID_740	49	0.00	0.25	0.98	0.84	0.82	0.04	0.97
HDGF	ID_741	10	0.00	-0.06	-0.45	-0.53	-0.54	-0.96	-0.87
THOP1	ID_743	0	0.00	-0.58	-1.00	-0.46	-0.46	-0.45	-1.03
APBA3	ID_744	41	0.00	0.01	0.35	0.57	0.73	-0.04	0.31
MATK	ID_745	39	0.00	2.42	5.15	6.53	7.60	9.19	9.39
PIAS4	ID_746	47	0.00	0.55	0.50	0.23	0.19	-0.19	-0.36
MAP2K1	ID_747	39	0.00	-0.38	-0.25	0.03	0.37	2.21	2.15
SGTA	ID_748	41	0.00	0.56	0.80	0.94	1.09	0.55	0.43
TMEM242	ID_750	2	0.00	-0.47	-0.53	-0.56	-0.10	0.09	-1.09
DTX2	ID_751	10	0.00	0.03	0.02	-0.08	-0.17	-1.29	-2.00
HSPB1	ID_753	11	0.00	-0.84	-0.88	-1.11	-0.94	-0.30	-0.50
RASA4	ID_754	41	0.00	2.36	2.65	3.16	3.56	1.58	1.29
SYT5	ID_755	49	0.00	2.95	4.26	4.65	5.44	5.37	5.15
HNRNPA2B1	ID_756	10	0.00	-0.20	-0.59	-0.87	-1.79	-2.67	-2.01
YJU2B	ID_758	25	0.00	-0.08	0.36	-0.04	-0.71	0.53	0.40
MRI1	ID_759	10	0.00	-0.54	-1.17	-1.22	-0.40	-1.33	-1.72
PRKACB	ID_760	39	0.00	0.90	1.97	2.22	2.26	2.63	2.72
SGSH	ID_761	47	0.00	0.25	1.14	0.14	0.21	0.41	-0.03
CHD5	ID_762	49	0.00	5.30	8.05	7.67	7.65	7.34	8.75
CSTB	ID_763	22	0.00	-0.17	-0.60	-0.21	-0.06	0.18	-0.42
SH2B2	ID_764	17	0.00	0.52	1.40	1.55	1.41	-1.46	-1.23
PEX5	ID_765	49	0.00	0.93	1.22	1.09	0.97	0.53	0.64
JKAMP	ID_766	40	0.00	0.36	0.78	0.61	0.48	0.78	0.58
CD44	ID_767	15	0.00	-0.45	-0.06	0.11	-0.40	0.12	-0.17
SLC1A2	ID_768	39	0.00	1.72	2.56	1.51	1.29	5.10	6.35
EIF2AK4	ID_769	12	0.00	-0.19	-0.19	-0.08	-0.73	-0.59	-0.48
WDR1	ID_770	19	0.00	-0.30	0.34	0.37	0.09	-0.43	0.71
CCN4	ID_772	14	0.00	-0.62	-0.74	0.40	-1.40	-2.05	-1.49
NDRG1	ID_773	39	0.00	-0.68	1.94	3.72	3.47	3.77	4.66
MAN2B1	ID_775	39	0.00	-0.03	0.88	0.02	0.37	1.09	1.32
KLF5	ID_776	19	0.00	-1.30	0.40	1.47	0.60	1.12	2.46
PRDX2	ID_778	10	0.00	0.22	-0.04	-0.22	-0.33	-1.23	-1.84
POLR2A	ID_779	10	0.00	-0.45	-0.13	-1.10	-1.88	-2.17	-1.28
SENP3	ID_781	26	0.00	-0.05	-0.21	-0.15	0.05	-0.74	-0.31
PLEKHA8	ID_783	10	0.00	-0.24	-0.25	-0.94	-1.76	-1.90	-1.42
SPC25	ID_784	10	0.00	-0.44	-2.92	-2.82	-3.87	-6.74	-5.86
RIPK4	ID_786	9	0.00	-2.97	-0.82	0.60	-2.33	-0.81	-1.84
ZFP287	ID_788	41	0.00	0.54	1.21	0.86	0.70	0.47	0.08
LETM1	ID_790	18	0.00	0.02	0.57	0.59	0.73	0.75	0.49
UBQLN1	ID_791	49	0.00	0.31	0.64	0.70	0.44	0.31	0.71
FGFR4	ID_792	41	0.00	1.42	2.72	2.72	1.47		0.97
CADM3	ID_793	49	0.00	2.57	4.69	4.00	4.58	4.31	4.75
TXN2	ID_795	22	0.00	-0.08	-0.21	-0.07	-0.02	0.53	0.19
SLC1A6	ID_797	41	0.00	0.67	3.21	3.25	4.11	2.24	0.80
SLC1A3	ID_798	39	0.00	1.67	3.10	3.23	3.64	3.84	4.34
CRBN	ID_799	39	0.00	0.66	0.30	0.53	0.70	1.32	1.36
MSH6	ID_800	10	0.00	-0.53	-1.36	-1.38	-2.25	-3.35	-3.11
FBXO11	ID_801	27	0.00	0.86	1.02	0.83	0.17	-0.03	0.82
MLXIPL	ID_802	25	0.00	0.84	-0.60	-0.60		1.00	1.55
BUD23	ID_804	10	0.00	-0.47	-0.92	-0.95	-0.75	-0.87	-1.11
NID1	ID_805	17	0.00	-0.56	0.64	-0.02	-0.63	-4.52	-4.23
MCM5	ID_806	10	0.00	-1.06	-2.77	-2.82	-3.14	-5.06	-4.38
HMOX1	ID_807	10	0.00	-0.93	-0.77	-0.99	-0.86	-2.98	-2.01
MPRIP	ID_808	44	0.00	0.54	0.66	0.79	0.31	-0.31	0.47
CIC	ID_809	49	0.00	0.56	1.30	0.85	1.03	0.17	1.03
PAFAH1B3	ID_810	44	0.00	1.21	1.34	1.42	1.43	-2.76	-3.41
IL27RA	ID_811	36	0.00	0.84	0.40	1.99	1.47	0.41	0.97
PRKACA	ID_812	49	0.00	0.42	1.22	0.72	0.66	0.67	1.03
ASF1B	ID_813	10	0.00	-0.91	-2.97	-2.84	-3.96	-5.48	-6.92
DDX39A	ID_815	10	0.00	-0.75	-1.50	-1.72	-1.66	-3.15	-2.94
DNAJB1	ID_816	5	0.00	-0.67	-0.33	-0.46	-1.07	-0.43	-0.63
USP40	ID_818	3	0.00	-0.22	-0.77	-0.49	-1.70	-5.34	-0.79
KBTBD4	ID_820	16	0.00	-0.10	0.17	-0.11	0.02	-0.25	-0.69
CELF1	ID_821	12	0.00	0.07	-0.18	-0.30	-1.15	-1.49	-0.40
NDUFS3	ID_822	39	0.00	0.06	0.21	0.36	0.66	1.04	0.59
POR	ID_823	49	0.00	0.67	0.95	0.60	0.94	0.29	0.92
IGF1R	ID_824	17	0.00	0.28	1.02	0.15	-0.90	-1.48	-0.02
INSR	ID_825	38	0.00	1.28	2.08	1.18	-0.00	-0.65	1.45
ATP4A	ID_828	16	0.00	-0.16	0.81	1.14	1.89	-0.17	-¡Þ
TRIM28	ID_829	10	0.00	-0.17	-0.55	-0.68	-1.05	-2.61	-2.17
ADCY9	ID_831	39	0.00	2.50	3.57	4.14	4.02	5.04	6.38
MEF2C	ID_832	39	0.00	0.81	1.14	3.42	2.96	4.95	5.70
CTR9	ID_833	44	0.00	0.43	0.62	0.57	0.30	-0.72	-0.47
EIF4G2	ID_834	10	0.00	0.16	0.05	-0.12	-0.47	-1.68	-1.49
IRAG1	ID_835	6	0.00	-1.75	-0.19	-1.18	-0.11	0.83	-0.62
PCYT1A	ID_836	17	0.00	-0.04	0.56	0.26	0.11	-0.86	-0.34
ZFP592	ID_837	27	0.00	0.29	0.78	0.64	0.13	-0.17	0.73
PSMD4	ID_838	34	0.00	-0.10	-0.34	-0.16	-0.21	-0.21	-0.65
TMOD4	ID_839	38	0.00	1.84	2.40	0.40	0.47		0.97
SNX6	ID_841	10	0.00	-0.21	-0.73	-0.73	-1.09	-1.66	-1.95
MTHFD2	ID_842	10	0.00	-1.08	-0.84	-0.80	-0.93	-2.73	-3.18
KIT	ID_843	49	0.00	0.66	2.14	1.80	1.44	0.38	0.97
TOMM40L	ID_844	39	0.00	0.60	0.47	1.03	0.91	2.00	1.76
APOA2	ID_846	37	0.00	-0.90	0.08	2.17	3.74	0.67	2.23
PAN2	ID_847	10	0.00	0.02	-0.66	-0.71	-1.04	-2.15	-1.30
CS	ID_848	19	0.00	0.07	0.44	0.42	0.34	-0.23	0.46
AMPD3	ID_849	39	0.00	0.84	2.40	3.08	3.28	2.95	3.10
BCAS2	ID_850	10	0.00	-0.06	0.04	-0.18	-0.18	-0.71	-0.89
CTCF	ID_852	10	0.00	0.03	-0.26	-0.47	-1.03	-1.95	-0.92
PARD6A	ID_853	48	0.00	1.05	1.43	1.71	2.15	2.66	1.34
TFAP4	ID_856	10	0.00	-0.38	-0.82	-0.78	-2.48	-3.13	-1.87
RANBP1	ID_857	10	0.00	-0.59	-1.37	-1.69	-1.83	-2.74	-2.59
CD247	ID_858	1	0.00	-1.16	-1.60	-0.01		-0.59	-1.03
PSMB4	ID_860	34	0.00	0.12	-0.23	0.07	0.29	0.05	-0.72
SLC30A4	ID_862	39	0.00	0.26	0.44	0.79	0.94	1.40	1.62
SQOR	ID_863	22	0.00	0.34	-0.37	-0.69	-0.15	1.02	0.69
BLOC1S6	ID_864	16	0.00	0.18	0.39	0.34	0.54	-0.31	-0.71
METAP1	ID_865	17	0.00	-0.30	-0.08	0.09	0.05	-0.49	-0.24
GPR108	ID_866	23	0.00	-0.16	-0.26	0.29	0.13	0.64	1.22
RSL1D1	ID_869	10	0.00	-0.44	-0.88	-1.12	-1.25	-2.20	-1.84
APC	ID_870	49	0.00	0.45	0.87	0.77	0.39	0.08	0.84
REEP5	ID_871	39	0.00	0.64	2.14	2.54	2.86	2.71	2.69
ERGIC3	ID_872	18	0.00	0.49	0.93	1.22	1.45	1.07	0.40
UQCC1	ID_873	35	0.00	0.32	-0.37	0.40	0.32	0.86	0.94
SPO11	ID_874	37	0.00	-0.16		0.40	1.47	0.41	0.97
NCOA2	ID_875	27	0.00	0.19	0.71	0.47	-0.32	-0.13	0.74
TRH	ID_876	16	0.00	-2.73	-2.05	-2.94	-0.55	-1.83	-5.18
NR2C2	ID_877	38	0.00	0.82	1.12	0.85	0.24	-0.11	0.85
NR2C1	ID_878	27	0.00	0.17	0.63	-0.08	-0.95	-1.72	0.36
SMPD4	ID_879	27	0.00	-0.06	0.07	-0.10	-0.51	-1.58	0.05
PEX1	ID_880	49	0.00	0.80	1.78	1.36	0.95	1.15	1.55
OTX1	ID_881	10	0.00	0.31	-0.89	-1.56	-3.00	-4.17	-3.20
KCTD20	ID_882	44	0.00	0.38	0.28	0.29	0.01	-0.53	-0.22
CTNS	ID_884	27	0.00	0.42	0.53	0.45	-0.72	-1.13	1.01
SHPK	ID_886	39	0.00	0.25	1.98	1.40	1.89	2.15	2.38
EPHB3	ID_887	43	0.00	0.42	0.74	-0.39	-0.53	-0.38	0.47
TUFT1	ID_888	19	0.00	-0.75	0.40	0.74	0.96	-0.50	0.06
RCN1	ID_889	10	0.00	-0.59	-1.27	-0.93	-1.44	-2.14	-3.37
TRAP1	ID_891	11	0.00	-0.47	-1.08	-0.91	-0.54	-0.14	-0.37
NAA60	ID_892	39	0.00	0.81	1.38	1.29	1.35	1.88	1.63
1700037C18RIK	ID_893	49	0.00	1.42	2.04	2.49	2.52	2.27	1.77
ANKRD13D	ID_894	39	0.00	0.30	2.72	2.70	3.40	3.34	3.16
TPR	ID_895	10	0.00	-0.14	-0.12	-0.42	-0.98	-1.75	-0.90
ODR4	ID_896	39	0.00	0.49	0.46	0.50	0.69	0.86	1.00
DHX34	ID_898	16	0.00	0.13	0.30	0.09	0.10	-0.96	-1.18
KPTN	ID_899	48	0.00	0.55	0.89	1.23	1.41	1.36	0.75
NAPA	ID_900	39	0.00	0.39	0.84	0.93	1.18	2.16	2.45
ATP5MC1	ID_903	18	0.00	-0.36	0.44	0.51	0.75	1.27	0.56
SNF8	ID_904	39	0.00	0.15	0.47	0.48	0.42	0.63	0.67
TBCB	ID_905	16	0.00	0.44	0.75	0.93	1.30	0.56	-0.38
INPP5K	ID_906	49	0.00	0.75	1.35	1.65	1.52	0.93	1.57
CRKL	ID_907	44	0.00	0.66	0.30	0.13	-0.37	-1.35	-0.99
UPK3BL	ID_908	20	0.00	-0.75	-2.19	-2.18	-2.11	-2.17	-1.62
EPS8L1	ID_909	39	0.00	-0.16	1.40	1.40	2.47	2.00	1.97
CLINT1	ID_910	10	0.00	-0.10	-0.42	-0.29	-0.57	-0.88	-0.45
CDKAL1	ID_912	12	0.00	0.29	-0.48	-0.07	-0.61	-1.03	-0.12
HTRA1	ID_915	39	0.00	3.48	4.61	5.79	6.03	8.56	8.35
ZBTB17	ID_916	10	0.00	0.34	0.00	-0.15	-0.29	-0.44	-0.45
FAM131C	ID_918	41	0.00	2.58	6.08	6.02	6.72	3.00	2.70
FBLIM1	ID_919	17	0.00	-0.47	1.06	0.44	0.19	-5.87	-¡Þ
EPOR	ID_921	9	0.00	-4.25	-1.52	-2.10	-2.29	-0.28	0.78
CCDC159	ID_922	40	0.00	1.42		1.40	0.47	3.00	3.29
MOB1B	ID_923	27	0.00	0.19	0.24	-0.08	-0.95	-1.32	0.23
VAX1	ID_925	44	0.00	2.57	2.10	0.72	0.80	-2.59	-1.03
ATP6V1B2	ID_926	39	0.00	0.14	0.80	0.84	1.03	2.30	2.55
EPS15L1	ID_927	17	0.00	0.06	0.43	0.06	0.06	-0.93	-0.55
TEP1	ID_928	10	0.00	-0.52	-0.07	-1.18	-2.70	-1.17	-2.20
TTC5	ID_929	44	0.00	0.72	0.38	0.29	0.21	-0.65	-0.85
OSGEP	ID_930	10	0.00	-0.34	-0.53	-0.58	-0.58	-0.84	-0.77
TMBIM1	ID_932	39	0.00	-0.37	0.03	0.53	0.60	2.73	2.81
KMT2B	ID_934	17	0.00	0.09	0.49	0.02	0.00	-1.53	-0.34
UPK1A	ID_937	41	0.00	-0.16	0.40	2.40	1.47	0.41	-¡Þ
TMEM147	ID_938	18	0.00	0.20	0.60	0.66	1.06	1.05	0.65
RPS9	ID_939	10	0.00	-0.11	-0.55	-0.45	-0.67	-1.66	-2.34
TFPT	ID_940	19	0.00	0.13	0.47	0.60	0.37	0.13	0.92
SUSD2	ID_941	19	0.00	-0.58	-0.02	1.21	1.80	-0.00	1.97
GGT5	ID_942	49	0.00	2.16	3.86	2.40	3.47	2.00	2.55
GGT1	ID_943	9	0.00	-2.48	-0.12	-0.92	-1.26	-0.59	-0.36
CRIP2	ID_944	49	0.00	0.83	1.38	1.48	1.61	1.07	0.84
CRIP1	ID_945	0	0.00	-0.73	-1.28	-0.83	-1.59	-1.00	-1.53
CBFA2T3	ID_946	49	0.00	3.71	4.95	3.60	2.89	2.53	3.81
FBLN1	ID_947	10	0.00	-0.96	-1.26	-1.13	-1.70	-3.69	-2.67
PGRMC1	ID_948	41	0.00	0.64	0.95	0.98	1.29	0.71	0.24
GCAT	ID_949	20	0.00	-1.01	-2.66	-1.68	-1.82	-1.22	-1.68
TEK	ID_950	17	0.00	-0.24	0.62	0.05	0.02	-0.48	-0.44
ELOVL1	ID_952	6	0.00	-0.71	-0.34	-0.40	-0.66	0.85	0.21
MED8	ID_953	10	0.00	-0.18	-0.50	-0.61	-1.16	-1.76	-1.31
HYI	ID_954	18	0.00	0.04	1.27	1.42	2.29	1.41	0.46
CDC20	ID_955	10	0.00	-0.50	-2.21	-2.54	-2.78	-8.58	-7.02
ADAMTS4	ID_956	22	0.00	-0.48	-0.60	-0.33	-0.26	2.09	0.97
NECTIN4	ID_957	39	0.00	-0.16	1.98	1.14	0.89	2.15	2.19
PFDN2	ID_958	38	0.00	0.15	0.35	0.10	-0.06	-0.25	0.13
RNF114	ID_959	47	0.00	0.44	0.37	0.09	-0.03	0.18	-0.09
STEEP1	ID_960	25	0.00	-0.10	-0.50	-0.36	-0.69	-0.03	0.58
NEURL1A	ID_961	39	0.00	1.24	2.50	2.48	2.96	4.15	4.97
SRM	ID_962	16	0.00	-0.24	-0.08	0.27	0.26	-0.17	-0.52
EPHA2	ID_963	10	0.00	-0.16	-0.68	-0.52	-2.19	-3.84	-1.28
RBM14	ID_964	10	0.00	-0.28	-0.52	-0.83	-1.37	-2.36	-1.65
ACTN3	ID_965	2	0.00	-1.50	-0.60	-1.65	-0.99	-0.13	-1.19
ZDHHC24	ID_967	39	0.00	0.17	0.77	0.97	0.43	0.81	1.37
NDOR1	ID_969	10	0.00	-0.19	-0.06	-0.57	-0.61	-0.91	-0.65
NSMF	ID_970	39	0.00	1.26	1.64	2.12	2.91	4.34	4.53
PDK1	ID_971	23	0.00	-0.48	-0.53	0.08	-0.25	-0.06	0.95
PTBP1	ID_972	10	0.00	-0.88	-1.74	-1.78	-2.75	-4.04	-3.72
MVD	ID_973	16	0.00	-0.12	0.54	0.72	1.01	0.19	-0.80
CYBA	ID_974	2	0.00	-0.62	-0.66	-0.71	-0.47	-0.61	-1.29
STIMATE	ID_976	40	0.00	-0.16	0.59	0.55	-0.05	0.10	0.38
SFMBT1	ID_977	27	0.00	0.15	0.12	-0.33	-1.11	-1.27	-0.00
ATP7B	ID_980	47	0.00	0.30	0.72	1.10	0.06		-2.03
SLC4A1	ID_982	10	0.00	-2.52	-1.30	-4.06	-4.31	-5.06	-¡Þ
RUNDC3A	ID_983	39	0.00	2.39	2.85	2.94	3.13	3.80	3.85
SLC4A3	ID_984	49	0.00	1.22	2.73	2.84	3.01	3.04	3.31
CDT1	ID_985	10	0.00	-0.68	-2.05	-2.34	-3.14	-5.29	-4.15
RUNX1T1	ID_986	41	0.00	1.87	3.50	2.68	1.29	-0.23	0.27
APRT	ID_988	10	0.00	-0.66	-1.11	-0.74	-0.51	-1.27	-1.47
HFE	ID_990	19	0.00	-0.65	0.76	1.50	0.84	1.19	0.97
ABHD1	ID_991	46	0.00	2.16	2.98	0.40	3.28	3.87	3.97
SLC5A6	ID_992	49	0.00	0.47	1.53	1.31	1.88	0.46	1.30
APLP1	ID_995	39	0.00	2.61	3.58	3.77	4.08	4.65	4.73
QRICH1	ID_996	44	0.00	0.23	-0.02	0.00	-0.49	-1.07	-0.36
P4HTM	ID_997	39	0.00	1.81	2.43	2.60	3.44	4.81	4.72
USP19	ID_998	27	0.00	0.09	0.32	0.44	-0.22	-0.20	0.46
POLA1	ID_999	10	0.00	-0.43	-2.22	-2.46	-3.34	-4.63	-4.66
CDC42	ID_1000	16	0.00	-0.02	0.26	0.44	0.55	-0.08	-0.31
PKNOX1	ID_1001	44	0.00	0.74	0.77	0.73	0.01	-1.20	-0.64
D130043K22RIK	ID_1002	39	0.00	1.06	2.62	2.90	3.06	4.41	4.94
