gene_name	E10.5_Brain	E12.5_Brain	E14.5_Brain	E16.5_Brain	P0_Brain	P21_Brain	8W_Brain
Eya2	12.02741951	5.603524213	6.277893258	8.941806722	6.612251318	2.997942412	0.978549701
Prl3c1	0	0	0	0	0	0	0
B4galt5	14.03198943	23.5348017	37.99777498	41.06607532	37.93344177	30.64563355	35.7170641
Gdap1l1	5.011424796	52.89726857	102.4287847	105.3146125	104.4039682	58.62642939	58.22370723
Hnf4a	0	0	0.330415435	0	0.696026455	0	0
Ptgis	15.28484563	6.275947119	5.947477823	8.941806722	4.524171955	3.664151837	0.978549701
Cadps2	3.257426117	5.603524213	16.52077173	11.92240896	13.57251586	52.29743986	67.03065454
Ddx27	39.59025589	26.44863429	26.10281934	27.15659819	19.48874073	16.98834034	20.06026888
Cyth3	19.29398546	19.72440523	41.63234476	40.40371926	37.23741532	30.64563355	35.22778925
Cyth4	2.756283638	3.362114528	5.286646954	5.298848428	4.872185182	7.328303674	14.18897067
Rac3	31.07083373	81.36317158	317.1988172	469.6104419	725.9555921	65.62162836	16.63534492
Rrp7a	66.65194978	79.57004383	83.59510496	97.69751789	142.6854232	129.9108379	86.60164856
Cyb5r3	81.68622417	65.22502184	109.6979243	76.8333022	59.16224864	26.98148171	44.52401141
Ints2	29.31683505	25.55207041	19.82492608	19.53950358	12.87648941	8.993827237	13.21042097
Med13l	15.28484563	27.34519816	37.66735955	27.48777622	12.52847618	10.6593508	50.39530962
H2bc4	11.77684827	23.31066073	16.1903563	24.83835201	24.01291268	116.2535447	100.7906192
Baiap2l2	0.751713719	0	0.660830869	1.324712107	4.176158727	3.331047125	1.467824552
Mafk	4.510282316	11.4311894	19.82492608	17.88361344	14.61655555	8.327617812	11.25332156
Med1	37.58568597	50.20757695	41.63234476	33.4489807	27.49304496	18.32075919	28.37794134
Erbb3	1.252856199	0.448281937	2.643323477	2.980602241	0.348013227	5.995884824	8.806947311
Stard3	23.55369654	28.69004397	26.10281934	24.50717398	29.23311109	36.97462308	37.6741635
Ikzf3	0	0	0	0.331178027	0	0.666209425	0.489274851
Mfng	41.5948258	92.57022	25.44198847	23.5136399	18.79271427	6.662094249	4.403473656
Vmp1	68.90709094	73.74237865	63.43976345	70.20974167	102.663902	217.5173772	143.8468061
Uchl5	79.43108301	47.51788533	36.34569781	32.45544662	36.88940209	101.2638326	84.15527431
Glrx2	36.08225853	58.50079279	50.22314606	62.59264705	45.937746	66.62094249	52.35240902
Ro60	61.64052499	80.91488964	55.84020845	51.66377217	32.36523014	26.98148171	39.6312629
Stk4	45.3533944	41.46607918	41.30192933	34.11133675	18.09668782	18.32075919	31.80286529
Wfdc15b	0	0	0	0	0	0.333104712	0
Pmp22	18.54227174	11.87947133	22.46824955	32.45544662	19.1407275	28.31390056	27.39939164
Gdf9	0.751713719	3.137973559	0.660830869	2.980602241	2.436092591	0.333104712	0.489274851
Zcchc10	12.52856199	11.87947133	6.277893258	8.279450668	7.308277773	7.994513099	10.27477186
Tbx5	2.004569918	0.224140969	0	0	0.348013227	0	0
Psmb6	459.2970825	420.264316	326.4504494	371.581746	455.2013013	301.7928695	158.0357768
Spag7	98.47449724	70.82854606	99.12463039	57.62497665	37.58542855	36.30841366	55.28805812
Pfn1	591.5986971	474.2822894	402.4459994	339.7886554	252.657603	239.835393	278.39739
Tomm34	25.05712398	20.6209691	29.40697368	28.15013227	14.61655555	29.3132147	82.68744976
Ywhab	251.824096	295.1936556	404.0980766	482.526385	508.4473251	493.6611839	532.8203123
Ksr1	5.512567275	8.069074867	9.912463039	8.610628695	11.4844365	13.99039792	34.7385144
Gpx3	48.61082052	16.3622907	34.69362064	27.81895425	46.28575923	32.64426182	30.33504074
Anxa6	63.39452367	39.00052852	48.90148433	56.63144257	51.50595764	81.94375927	86.60164856
Zkscan6	8.018279673	12.32775327	9.912463039	14.57183318	13.22450264	10.32624609	6.849847909
Kpna2	631.9406667	433.0403512	118.2887256	128.8282524	73.77880418	53.62985871	34.7385144
Smurf2	41.84539704	54.24211438	46.25816085	44.37785558	35.14933596	21.3187016	25.44229223
Cep95	9.271135872	10.98290746	8.921216735	10.26651883	5.220198409	1.998628275	3.914198805
Vezf1	63.64509491	84.94942707	80.62136605	61.26793495	33.06125659	17.65454976	27.39939164
Cuedc1	29.06626381	47.06960339	85.57759757	59.94322284	68.21059255	21.65180631	17.61389462
Srsf1	385.629138	392.6949769	215.4308634	190.7585434	119.0205237	50.29881158	90.02657252
Abi3	1.503427439	1.120704843	0.991246304	0.662356053	0.696026455	4.663465975	3.914198805
Shroom1	1.252856199	0.448281937	1.652077173	2.980602241	3.8281455	0.666209425	5.871298208
Kif3a	25.55826646	59.62149763	110.6891706	103.9899004	94.65959782	67.28715192	97.36569528
Septin8	16.53770183	22.41409685	21.14658782	28.81248833	29.92913755	229.8422516	260.7834954
Mtmr4	41.5948258	51.55242276	68.06557953	54.64437441	29.92913755	22.65112045	49.90603476
Mrm1	9.521707112	8.517356804	10.24287847	17.22125739	17.74867459	18.32075919	10.76404671
Mapt	9.772278352	142.105374	672.7258249	717.3316059	662.6171848	130.910152	235.3412032
Kansl1	44.60168068	60.74220247	68.06557953	52.32612822	47.32979891	37.64083251	57.73443238
Gid4	28.06397886	24.65550654	30.39821999	25.50070806	21.92483332	29.3132147	56.26660782
Myo1b	43.84996696	63.43189409	37.99777498	43.71549953	20.18476718	9.993141374	14.18897067
Dhx40	40.34196961	48.4144492	31.71988172	18.5459695	18.09668782	9.660036662	18.59244432
Ypel2	4.760853556	8.517356804	9.25163217	9.272984749	3.132119046	25.64906286	34.7385144
Akap1	15.78598811	15.6898678	39.31943672	34.77369281	35.49734918	21.3187016	25.44229223
Nol11	36.33282977	33.62114528	33.3719589	22.85128384	13.22450264	6.995198962	13.21042097
Derl2	46.10510812	44.37991177	33.70237433	36.09840491	29.92913755	25.64906286	32.29214014
C1qbp	181.1630064	139.1915415	138.7744825	131.4776766	117.2804576	84.94170168	86.11237371
Rpain	30.06854877	26.67277526	23.78991129	29.14366635	26.44900527	27.98079585	20.54954373
6330403K07Rik	164.6253045	455.4544481	585.1657347	662.0248754	790.6860524	478.3383671	302.3718577
Slc13a3	1.002284959	2.465550654	7.929970431	9.272984749	10.09238359	9.326931949	11.74259642
Kcnab3	0.50114248	3.137973559	3.634569781	3.642958294	5.568211637	36.97462308	45.01328626
Chd3	67.15309226	143.2260789	245.4986679	207.6486228	133.2890661	119.5845918	214.7916594
Kdm6b	14.03198943	23.31066073	37.99777498	17.55243542	11.4844365	2.997942412	13.21042097
Chct1	0.50114248	0.672422906	0.660830869	0.662356053	1.740066136	0.333104712	0
Appbp2	70.66108962	64.32845797	63.43976345	56.30026455	48.02582537	47.9670786	68.00920424
Wnt9b	1.002284959	0.224140969	1.321661739	0.331178027	1.392052909	1.665523562	0
Adora2b	2.004569918	1.56898678	0.991246304	2.649424214	2.436092591	7.661408387	1.467824552
Ncor1	39.33968465	60.5180615	75.99554996	73.19034391	45.937746	40.63877492	79.2625258
Trpv2	1.753998678	5.155242276	19.49451064	16.55890134	26.10099205	11.99176965	14.67824552
Cenpv	59.63595507	149.502026	84.58635127	113.9252412	101.6198624	68.95267548	43.54546171
Pcgf2	27.31226514	44.37991177	77.3172117	46.03374572	31.66920368	5.995884824	12.23187127
Cwc25	8.018279673	12.32775327	12.55578652	10.59769686	10.44039682	7.994513099	6.849847909
Spmap1	0	0	0	0	0	0.333104712	0.489274851
Pip4k2b	36.08225853	73.74237865	128.8620195	127.1723623	102.663902	52.63054457	79.2625258
Trim37	59.13481259	82.70801739	106.7241854	112.2693511	86.65529359	151.5626442	241.2125014
Ybx2	5.763138515	11.4311894	10.57329391	8.610628695	8.352317455	3.99725655	1.957099403
Ctdnep1	232.7806818	320.521585	284.8181047	311.6385232	283.6307802	226.1780998	185.9244432
Elp5	109.2490605	102.8807046	118.619141	109.2887488	127.024828	111.256974	84.64454916
Slc2a4	8.018279673	7.396651962	2.643323477	4.305314348	4.176158727	0.666209425	2.446374253
Gabarap	166.128732	278.3830829	229.9691425	255.6694366	253.7016427	195.8655709	160.9714259
Cldn7	5.011424796	0.448281937	0	0	0	0	0
2810408A11Rik	9.521707112	13.67259908	3.964985216	10.26651883	8.004304228	0	0.978549701
Phf23	63.89566614	76.43207027	60.46602454	68.88502956	61.250328	40.30567021	36.20633895
Acadvl	25.30769522	33.62114528	49.23189976	44.37785558	46.28575923	48.96639273	42.56691201
G3bp1	254.5803796	165.6401757	96.48130691	107.3016807	61.59834123	35.30909952	40.12053775
Atox1	121.7776225	141.2088102	150.0086073	153.6666044	154.8658861	173.5475552	131.12566
Glra2	0	8.965638741	57.82270106	56.63144257	58.46622218	8.327617812	8.317672461
Sparc	168.1333019	185.364581	291.0959979	395.4265639	270.0582644	458.0189796	205.4954373
Mief2	8.268850913	12.55189424	16.52077173	16.89007936	22.62085977	16.32213091	16.14607007
Tbx3	1.753998678	0.224140969	2.312908042	1.324712107	1.044039682	0	0.978549701
Crhr1	0	0.896563874	7.269139562	9.935340802	10.09238359	23.31732987	23.48519283
Dusp14	4.259711076	9.18977971	6.277893258	12.91594304	6.960264546	69.95198962	71.92340304
Tada2a	25.30769522	22.63823782	23.12908042	23.84481792	17.05264814	17.98765447	22.99591798
Ikzf1	2.004569918	1.344845811	3.634569781	4.636492374	1.740066136	0.666209425	1.957099403
Pnpo	22.30084034	7.172510993	24.12032673	18.21479147	27.14503173	56.96090583	50.88458447
Cog1	19.29398546	26.89691622	41.63234476	36.42958294	30.97317723	28.31390056	50.88458447
